timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1,71978E+12;67;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-290;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;67;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-291;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;73;0;1
1,71978E+12;65;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-293;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;65;0;1
1,71978E+12;72;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-292;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;72;0;1
1,71978E+12;69;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-294;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;69;0;1
1,71978E+12;74;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-295;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;74;0;1
1,71978E+12;74;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-296;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;74;0;1
1,71978E+12;76;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-297;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;76;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-298;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;73;0;1
1,71978E+12;66;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-299;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;66;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-300;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;73;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-301;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;73;0;1
1,71978E+12;74;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-302;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;74;0;1
1,71978E+12;68;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-303;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;68;0;1
1,71978E+12;76;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-304;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;76;0;1
1,71978E+12;76;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-305;text;true;;485;155;1;1;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;76;0;1
1,71978E+12;72;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-306;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;72;0;1
1,71978E+12;74;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-307;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;74;0;1
1,71978E+12;66;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-308;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;66;0;1
1,71978E+12;75;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-309;text;true;;483;155;1;1;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;75;0;1
1,71978E+12;76;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-310;text;true;;485;155;3;3;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;76;0;1
1,71978E+12;67;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-311;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;67;0;0
1,71978E+12;75;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-312;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;75;0;1
1,71978E+12;74;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-313;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;74;0;1
1,71978E+12;66;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-314;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;66;0;1
